signature,database,buildtime,version
Win.Worm.Allaple-221791,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Adware.Browsefox-42703,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Adware.Browsefox-42704,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Adware.Browsefox-42705,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Worm.Allaple-221792,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Agent-1388682,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Agent-1388683,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Agent-1388684,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Adware.Browsefox-42707,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Ramnit-7846,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Shodi-1209,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Shodi-1210,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Shodi-1211,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Shodi-1212,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Agent-1388685,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Agent-1388686,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Agent-1388687,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Ramnit-7847,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Ramnit-7848,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Ramnit-7849,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Agent-1388688,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Adware.Browsefox-42708,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Adware.Browsefox-42709,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Agent-1388689,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Agent-1388690,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Agent-1388691,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Agent-1388692,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Worm.Allaple-221793,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Adware.Linkury-16149,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Adware.Linkury-16150,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Adware.Browsefox-42710,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Adware.Browsefox-42711,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Worm.Allaple-221794,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Worm.Allaple-221795,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Worm.Allaple-221796,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Worm.Allaple-221797,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Worm.Allaple-221798,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Worm.Allaple-221799,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Worm.Allaple-221800,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Agent-1388693,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Agent-1388694,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Agent-1388695,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Antifw-173,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Adware.Browsefox-42712,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Adware.Browsefox-42713,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Adware.Browsefox-42714,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Adware.Browsefox-42716,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Adware.Browsefox-42717,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Adware.Browsefox-42718,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Adware.Linkury-16151,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Adware.Linkury-16152,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Adware.Browsefox-42719,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Adware.Softpulse-807,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Adware.Softpulse-808,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Adware.Browsefox-42720,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Adware.Agent-1388696,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Adware.Agent-1388697,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Adware.Browsefox-42721,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Adware.Imali-23,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Adware.Browsefox-42723,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Adware.Browsefox-42724,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Shodi-1213,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Adware.Outbrowse-1576,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Worm.Allaple-221801,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Adware.Browsefox-42725,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Shodi-1214,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Shodi-1215,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Agent-1388698,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Agent-1388699,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Adware.Browsefox-42726,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Agent-1388700,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Agent-1388701,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Agent-1388702,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Agent-1388703,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Agent-1388704,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Agent-1388705,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Agent-1388706,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Worm.Shodi-1216,main.ldb,16 Sep 2021 08:32 -0400,62
